"rat" "reward" "trou" "session" "round" "choice"
5 -9 40 1 1 "F"
5 2 40 1 2 "F"
5 -3 40 1 3 "F"
5 -12 50 1 4 "A"
5 -6 10 1 5 "R"
5 -6 50 1 6 "A"
5 -36 40 1 7 "F"
5 2 10 1 8 "R"
5 4 10 1 9 "R"
5 2 10 1 10 "R"
5 -12 10 1 11 "R"
5 3 50 1 12 "A"
5 4 10 1 13 "R"
5 2 10 1 14 "R"
5 2 10 1 15 "R"
5 4 10 1 16 "R"
5 -12 10 1 17 "R"
5 -6 50 1 18 "A"
5 5 10 1 19 "R"
5 -12 10 1 20 "R"
5 1 50 1 21 "A"
5 2 40 1 22 "F"
5 -3 40 1 23 "F"
5 4 10 1 24 "R"
5 4 10 1 25 "R"
5 2 10 1 26 "R"
5 -15 10 1 27 "R"
5 -6 50 1 28 "A"
5 -12 10 1 29 "R"
5 -6 10 1 30 "R"
5 -9 40 1 31 "F"
5 2 10 1 32 "R"
5 -12 10 1 33 "R"
5 2 40 1 34 "F"
5 -6 10 1 35 "R"
5 1 50 1 36 "A"
5 -12 10 1 37 "R"
5 -12 10 1 38 "R"
5 1 50 1 39 "A"
5 2 40 1 40 "F"
5 -12 10 1 41 "R"
5 -6 10 1 42 "R"
5 -12 50 1 43 "A"
5 -12 10 1 44 "R"
5 -12 10 1 45 "R"
5 1 50 1 46 "A"
5 3 50 1 47 "A"
5 4 10 1 48 "R"
5 1 50 1 49 "A"
5 1 50 1 50 "A"
5 -12 50 1 51 "A"
5 -6 10 1 52 "R"
5 1 50 1 53 "A"
5 -6 10 1 54 "R"
5 -6 50 1 55 "A"
5 1 50 1 56 "A"
5 -12 10 1 57 "R"
5 2 10 1 58 "R"
5 -12 10 1 59 "R"
5 2 10 1 60 "R"
5 -9 40 1 61 "F"
5 3 50 1 62 "A"
5 3 50 1 63 "A"
5 1 50 1 64 "A"
5 2 10 1 65 "R"
5 2 40 1 66 "F"
5 2 10 1 67 "R"
5 -6 10 1 68 "R"
5 -6 10 1 69 "R"
5 1 50 1 70 "A"
5 -6 50 1 71 "A"
5 2 10 1 72 "R"
5 -12 50 1 73 "A"
5 4 10 1 74 "R"
5 -15 10 1 75 "R"
5 -12 10 1 76 "R"
5 -15 10 1 77 "R"
5 -6 50 1 78 "A"
5 2 10 1 79 "R"
5 2 40 1 80 "F"
5 -12 10 1 81 "R"
5 -6 10 1 82 "R"
5 2 10 1 83 "R"
5 -3 40 1 84 "F"
5 -12 10 1 85 "R"
5 2 40 1 86 "F"
5 -15 50 1 87 "A"
5 2 40 1 88 "F"
5 -6 50 1 89 "A"
5 2 10 1 90 "R"
5 -6 10 1 91 "R"
5 -6 50 1 92 "A"
5 -12 10 1 93 "R"
5 -6 10 1 94 "R"
5 5 10 1 95 "R"
5 -9 40 1 96 "F"
5 -6 10 1 97 "R"
5 1 50 1 98 "A"
5 3 50 1 99 "A"
5 -6 10 1 100 "R"
5 3 50 1 101 "A"
5 1 50 1 102 "A"
5 2 10 1 103 "R"
5 1 50 1 104 "A"
5 5 10 1 105 "R"
5 -6 50 1 106 "A"
5 3 50 1 107 "A"
5 -6 50 1 108 "A"
5 3 50 1 109 "A"
5 -3 40 1 110 "F"
5 -6 10 1 111 "R"
5 -6 10 1 112 "R"
5 5 10 1 113 "R"
5 -6 10 2 1 "R"
5 2 10 2 2 "R"
5 12 50 2 3 "A"
5 -6 10 2 4 "R"
5 -12 50 2 5 "A"
5 -3 20 2 6 "V"
5 -12 50 2 7 "A"
5 -3 20 2 8 "V"
5 12 50 2 9 "A"
5 2 40 2 10 "F"
5 4 40 2 11 "F"
5 1 50 2 12 "A"
5 3 50 2 13 "A"
5 -3 40 2 14 "F"
5 -12 50 2 15 "A"
5 1 50 2 16 "A"
5 -36 40 2 17 "F"
5 2 10 2 18 "R"
5 4 10 2 19 "R"
5 -6 10 2 20 "R"
5 -15 50 2 21 "A"
5 -9 40 2 22 "F"
5 4 10 2 23 "R"
5 -6 10 2 24 "R"
5 5 10 2 25 "R"
5 -9 40 2 26 "F"
5 3 20 2 27 "V"
5 -6 50 2 28 "A"
5 4 10 2 29 "R"
5 2 10 2 30 "R"
5 -12 10 2 31 "R"
5 -6 50 2 32 "A"
5 -12 50 2 33 "A"
5 1 50 2 34 "A"
5 12 50 2 35 "A"
5 4 10 2 36 "R"
5 4 10 2 37 "R"
5 -3 40 2 38 "F"
5 4 10 2 39 "R"
5 2 10 2 40 "R"
5 5 10 2 41 "R"
5 2 10 2 42 "R"
5 2 40 2 43 "F"
5 2 10 2 44 "R"
5 -6 10 2 45 "R"
5 -6 50 2 46 "A"
5 -6 10 2 47 "R"
5 2 40 2 48 "F"
5 -36 40 2 49 "F"
5 2 10 2 50 "R"
5 2 10 2 51 "R"
5 2 10 2 52 "R"
5 4 10 2 53 "R"
5 2 40 2 54 "F"
5 2 10 2 55 "R"
5 -12 50 2 56 "A"
5 1 50 2 57 "A"
5 3 50 2 58 "A"
5 -6 10 2 59 "R"
5 -6 50 2 60 "A"
5 -12 10 2 61 "R"
5 -6 10 2 62 "R"
5 2 40 2 63 "F"
5 -3 20 2 64 "V"
5 3 50 2 65 "A"
5 1 50 2 66 "A"
5 -12 50 2 67 "A"
5 1 50 2 68 "A"
5 -12 50 2 69 "A"
5 1 50 2 70 "A"
5 -6 50 2 71 "A"
5 2 10 2 72 "R"
5 4 10 2 73 "R"
5 -9 40 2 74 "F"
5 -12 10 2 75 "R"
5 -6 10 2 76 "R"
5 -12 10 2 77 "R"
5 -6 50 2 78 "A"
5 -12 10 2 79 "R"
5 -3 20 2 80 "V"
5 -12 50 2 81 "A"
5 -6 10 2 82 "R"
5 3 50 2 83 "A"
5 -6 50 2 84 "A"
5 -6 10 2 85 "R"
5 -12 50 2 86 "A"
5 -6 10 2 87 "R"
5 -6 10 2 88 "R"
5 -15 50 2 89 "A"
5 2 10 2 90 "R"
5 -15 10 2 91 "R"
5 2 10 2 92 "R"
5 -3 40 2 93 "F"
5 4 10 2 94 "R"
5 -12 10 2 95 "R"
5 1 50 2 96 "A"
5 3 50 2 97 "A"
5 -6 50 2 98 "A"
5 -6 10 2 99 "R"
5 -6 50 2 100 "A"
5 2 10 2 101 "R"
5 2 10 2 102 "R"
5 -9 40 2 103 "F"
5 4 40 2 104 "F"
5 5 10 2 105 "R"
5 2 10 2 106 "R"
5 -15 10 2 107 "R"
5 2 10 2 108 "R"
5 4 10 2 109 "R"
5 2 40 2 110 "F"
5 -6 10 2 111 "R"
5 1 50 2 112 "A"
5 3 50 2 113 "A"
5 -12 10 2 114 "R"
5 -3 40 2 115 "F"
5 -6 10 2 116 "R"
5 -12 10 2 117 "R"
5 2 40 2 118 "F"
5 2 40 2 119 "F"
5 -6 10 2 120 "R"
5 -6 50 2 121 "A"
5 2 10 2 122 "R"
5 -15 50 2 123 "A"
5 2 40 2 124 "F"
5 -15 50 2 125 "A"
5 2 10 3 1 "R"
5 -6 10 3 2 "R"
5 4 10 3 3 "R"
5 4 10 3 4 "R"
5 5 10 3 5 "R"
5 -6 10 3 6 "R"
5 4 10 3 7 "R"
5 -6 10 3 8 "R"
5 4 10 3 9 "R"
5 2 10 3 10 "R"
5 -12 10 3 11 "R"
5 2 10 3 12 "R"
5 4 10 3 13 "R"
5 -6 10 3 14 "R"
5 -3 40 3 15 "F"
5 -6 10 3 16 "R"
5 -9 40 3 17 "F"
5 -6 10 3 18 "R"
5 -6 10 3 19 "R"
5 4 10 3 20 "R"
5 -15 10 3 21 "R"
5 -6 10 3 22 "R"
5 -3 40 3 23 "F"
5 5 10 3 24 "R"
5 4 10 3 25 "R"
5 2 10 3 26 "R"
5 4 10 3 27 "R"
5 -6 10 3 28 "R"
5 1 50 3 29 "A"
5 2 40 3 30 "F"
5 -12 10 3 31 "R"
5 -6 10 3 32 "R"
5 3 50 3 33 "A"
5 -12 10 3 34 "R"
5 2 10 3 35 "R"
5 2 10 3 36 "R"
5 -12 10 3 37 "R"
5 -6 10 3 38 "R"
5 -12 50 3 39 "A"
5 1 50 3 40 "A"
5 -12 10 3 41 "R"
5 -6 10 3 42 "R"
5 -9 40 3 43 "F"
5 1 50 3 44 "A"
5 2 40 3 45 "F"
5 -6 10 3 46 "R"
5 -15 10 3 47 "R"
5 2 10 3 48 "R"
5 1 50 3 49 "A"
5 -6 10 3 50 "R"
5 -6 50 3 51 "A"
5 -12 10 3 52 "R"
5 4 10 3 53 "R"
5 -6 10 3 54 "R"
5 -12 10 3 55 "R"
5 -12 10 3 56 "R"
5 -12 10 3 57 "R"
5 2 10 3 58 "R"
5 -6 10 3 59 "R"
5 1 50 3 60 "A"
5 -6 50 3 61 "A"
5 -6 10 3 62 "R"
5 4 10 3 63 "R"
5 -3 40 3 64 "F"
5 4 10 3 65 "R"
5 2 10 3 66 "R"
5 -6 10 3 67 "R"
5 4 10 3 68 "R"
5 -12 10 3 69 "R"
5 1 50 3 70 "A"
5 4 40 3 71 "F"
5 -6 10 3 72 "R"
5 3 50 3 73 "A"
5 2 10 3 74 "R"
5 4 10 3 75 "R"
5 -12 10 3 76 "R"
5 -12 10 3 77 "R"
5 2 10 3 78 "R"
5 2 10 3 79 "R"
5 2 10 3 80 "R"
5 -12 10 3 81 "R"
5 -3 40 3 82 "F"
5 -12 10 3 83 "R"
5 -6 10 3 84 "R"
5 -12 50 3 85 "A"
5 -12 10 3 86 "R"
5 -6 50 3 87 "A"
5 4 10 3 88 "R"
5 5 10 3 89 "R"
5 2 10 3 90 "R"
5 2 10 3 91 "R"
5 -6 10 3 92 "R"
5 -12 50 3 93 "A"
5 1 50 3 94 "A"
5 1 50 3 95 "A"
5 -6 10 3 96 "R"
5 4 10 3 97 "R"
5 2 10 3 98 "R"
5 4 10 3 99 "R"
5 2 10 3 100 "R"
5 -15 10 3 101 "R"
5 2 10 3 102 "R"
5 4 10 3 103 "R"
5 -6 10 3 104 "R"
5 4 10 3 105 "R"
5 -6 10 3 106 "R"
5 -12 10 3 107 "R"
5 2 10 3 108 "R"
5 4 10 3 109 "R"
5 2 10 3 110 "R"
5 -6 10 3 111 "R"
5 -12 10 3 112 "R"
5 -6 10 3 113 "R"
5 -6 50 3 114 "A"
5 4 10 3 115 "R"
5 2 10 3 116 "R"
5 4 10 3 117 "R"
5 4 10 3 118 "R"
5 -12 10 3 119 "R"
5 1 50 3 120 "A"
5 4 40 3 121 "F"
5 -6 10 3 122 "R"
5 -12 10 3 123 "R"
5 -6 10 3 124 "R"
5 -15 50 3 125 "A"
5 -6 50 3 126 "A"
5 -6 50 3 127 "A"
5 -6 10 3 128 "R"
5 -6 10 3 129 "R"
5 1 50 3 130 "A"
5 4 10 3 131 "R"
5 -6 10 3 132 "R"
5 -6 50 3 133 "A"
5 -15 10 3 134 "R"
5 3 50 3 135 "A"
5 2 10 3 136 "R"
5 -6 10 3 137 "R"
5 -6 10 3 138 "R"
5 12 50 3 139 "A"
5 -9 40 4 1 "F"
5 1 50 4 2 "A"
5 -12 50 4 3 "A"
5 -6 10 4 4 "R"
5 -12 10 4 5 "R"
5 -6 10 4 6 "R"
5 -12 50 4 7 "A"
5 -6 50 4 8 "A"
5 -15 10 4 9 "R"
5 -6 10 4 10 "R"
5 1 50 4 11 "A"
5 1 50 4 12 "A"
5 3 20 4 13 "V"
5 -6 10 4 14 "R"
5 3 50 4 15 "A"
5 1 20 4 16 "V"
5 3 50 4 17 "A"
5 2 40 4 18 "F"
5 -36 20 4 19 "V"
5 -6 10 4 20 "R"
5 -9 40 4 21 "F"
5 -6 10 4 22 "R"
5 2 40 4 23 "F"
5 1 20 4 24 "V"
5 4 40 4 25 "F"
5 -9 40 4 26 "F"
5 -12 50 4 27 "A"
5 -3 40 4 28 "F"
5 4 10 4 29 "R"
5 -3 40 4 30 "F"
5 -12 10 4 31 "R"
5 -36 20 4 32 "V"
5 5 10 4 33 "R"
5 -3 40 4 34 "F"
5 2 10 4 35 "R"
5 -6 10 4 36 "R"
5 1 50 4 37 "A"
5 4 40 4 38 "F"
5 2 10 4 39 "R"
5 1 50 4 40 "A"
5 -6 10 4 41 "R"
5 -6 50 4 42 "A"
5 -6 10 4 43 "R"
5 1 50 4 44 "A"
5 -6 50 4 45 "A"
5 -6 10 4 46 "R"
5 -12 50 4 47 "A"
5 -12 10 4 48 "R"
5 -3 20 4 49 "V"
5 -6 10 4 50 "R"
5 4 10 4 51 "R"
5 2 10 4 52 "R"
5 5 40 4 53 "F"
5 -6 10 4 54 "R"
5 -12 50 4 55 "A"
5 2 40 4 56 "F"
5 -9 40 4 57 "F"
5 1 50 4 58 "A"
5 -6 10 4 59 "R"
5 80 50 4 60 "A"
5 -12 10 4 61 "R"
5 1 50 4 62 "A"
5 4 10 4 63 "R"
5 -6 10 4 64 "R"
5 3 50 4 65 "A"
5 1 50 4 66 "A"
5 -12 50 4 67 "A"
5 2 10 4 68 "R"
5 4 40 4 69 "F"
5 -6 10 4 70 "R"
5 1 50 4 71 "A"
5 -6 50 4 72 "A"
5 -12 50 4 73 "A"
