"rat" "reward" "trou" "session" "round" "choice"
12 2 10 1 1 "R"
12 -6 10 1 2 "R"
12 3 50 1 3 "A"
12 4 10 1 4 "R"
12 12 50 1 5 "A"
12 -6 50 1 6 "A"
12 3 50 1 7 "A"
12 -3 20 1 8 "F"
12 4 10 1 9 "R"
12 1 50 1 10 "A"
12 -12 50 1 11 "A"
12 1 50 1 12 "A"
12 3 50 1 13 "A"
12 -6 10 1 14 "R"
12 -6 50 1 15 "A"
12 -6 50 1 16 "A"
12 -12 10 1 17 "R"
12 -6 10 1 18 "R"
12 -6 50 1 19 "A"
12 4 10 1 20 "R"
12 -15 50 1 21 "A"
12 -6 50 1 22 "A"
12 -6 50 1 23 "A"
12 12 50 1 24 "A"
12 3 50 1 25 "A"
12 2 10 1 26 "R"
12 3 50 1 27 "A"
12 -6 50 1 28 "A"
12 2 10 1 29 "R"
12 1 50 1 30 "A"
12 -12 50 1 31 "A"
12 -6 50 1 32 "A"
12 3 50 1 33 "A"
12 -12 10 1 34 "R"
12 1 50 1 35 "A"
12 2 10 1 36 "R"
12 -12 50 1 37 "A"
12 -6 10 1 38 "R"
12 -12 10 1 39 "R"
12 2 10 1 40 "R"
12 -12 50 1 41 "A"
12 -6 50 1 42 "A"
12 -12 50 1 43 "A"
12 2 10 1 44 "R"
12 1 50 1 45 "A"
12 -6 10 1 46 "R"
12 -15 50 1 47 "A"
12 1 50 1 48 "A"
12 2 10 1 49 "R"
12 -6 50 1 50 "A"
12 -6 50 1 51 "A"
12 -12 50 1 52 "A"
12 4 10 1 53 "R"
12 -6 10 1 54 "R"
12 -12 50 1 55 "A"
12 -12 10 1 56 "R"
12 -12 50 1 57 "A"
12 1 50 1 58 "A"
12 -6 50 1 59 "A"
12 80 50 1 60 "A"
12 -3 20 1 61 "F"
12 -6 50 1 62 "A"
12 4 10 1 63 "R"
12 -6 50 1 64 "A"
12 3 50 1 65 "A"
12 1 50 1 66 "A"
12 -6 50 1 67 "A"
12 3 50 1 68 "A"
12 -12 50 1 69 "A"
12 2 10 1 70 "R"
12 3 40 1 71 "V"
12 -6 10 1 72 "R"
12 4 10 1 73 "R"
12 1 50 1 74 "A"
12 4 10 1 75 "R"
12 -12 10 1 76 "R"
12 -12 50 1 77 "A"
12 1 50 1 78 "A"
12 2 10 1 79 "R"
12 1 50 1 80 "A"
12 -12 10 1 81 "R"
12 -6 50 1 82 "A"
12 -9 40 1 83 "V"
12 -6 50 1 84 "A"
12 -12 50 1 85 "A"
12 -12 50 1 86 "A"
12 -6 50 1 87 "A"
12 4 10 1 88 "R"
12 5 10 1 89 "R"
12 1 50 1 90 "A"
12 1 50 1 91 "A"
12 -6 10 1 92 "R"
12 -12 50 1 93 "A"
12 2 10 1 94 "R"
12 1 50 1 95 "A"
12 -6 10 1 96 "R"
12 3 50 1 97 "A"
12 1 50 1 98 "A"
12 3 50 1 99 "A"
12 1 50 1 100 "A"
12 -15 50 1 101 "A"
12 2 10 1 102 "R"
12 3 50 1 103 "A"
12 -6 50 1 104 "A"
12 4 10 1 105 "R"
12 -6 50 1 106 "A"
12 -12 50 1 107 "A"
12 2 10 1 108 "R"
12 3 50 1 109 "A"
12 2 10 1 110 "R"
12 -6 50 1 111 "A"
12 -12 10 1 112 "R"
12 -6 10 1 113 "R"
12 -6 50 1 114 "A"
12 3 50 1 115 "A"
12 1 50 1 116 "A"
12 3 50 1 117 "A"
12 4 10 1 118 "R"
12 -12 50 1 119 "A"
