"rat" "reward" "trou" "session" "round" "choice"
2 -12 20 1 1 "R"
2 2 20 1 2 "R"
2 -6 20 1 3 "R"
2 -12 20 1 4 "R"
2 -6 20 1 5 "R"
2 -6 20 1 6 "R"
2 -15 20 1 7 "R"
2 1 40 1 8 "V"
2 4 20 1 9 "R"
2 2 20 1 10 "R"
2 -12 20 1 11 "R"
2 3 40 1 12 "V"
2 4 20 1 13 "R"
2 2 20 1 14 "R"
2 2 20 1 15 "R"
2 4 20 1 16 "R"
2 -12 20 1 17 "R"
2 -3 40 1 18 "V"
2 12 40 1 19 "V"
2 -12 20 1 20 "R"
2 1 40 1 21 "V"
2 2 20 1 22 "R"
2 -6 20 1 23 "R"
2 3 40 1 24 "V"
2 4 20 1 25 "R"
2 2 20 1 26 "R"
2 -15 20 1 27 "R"
2 -3 50 1 28 "F"
2 -12 20 1 29 "R"
2 -6 10 1 30 "A"
2 -12 20 1 31 "R"
2 2 20 1 32 "R"
2 -12 20 1 33 "R"
2 2 50 1 34 "F"
2 -6 20 1 35 "R"
2 2 20 1 36 "R"
2 -12 20 1 37 "R"
2 -12 20 1 38 "R"
2 2 20 1 39 "R"
2 2 20 1 40 "R"
2 -12 20 1 41 "R"
2 -3 40 1 42 "V"
2 -12 20 1 43 "R"
2 -9 50 1 44 "F"
2 -12 20 1 45 "R"
2 2 20 1 46 "R"
2 4 20 1 47 "R"
2 4 20 1 48 "R"
2 2 20 1 49 "R"
2 2 20 1 50 "R"
2 -12 20 1 51 "R"
2 -3 40 1 52 "V"
2 2 20 1 53 "R"
2 -6 20 1 54 "R"
2 -6 20 1 55 "R"
2 2 50 1 56 "F"
2 -12 20 1 57 "R"
2 2 20 1 58 "R"
2 -12 20 1 59 "R"
2 2 20 1 60 "R"
2 -12 20 1 61 "R"
2 3 10 1 62 "A"
2 4 20 1 63 "R"
2 2 20 1 64 "R"
2 2 20 1 65 "R"
2 2 20 1 66 "R"
2 2 20 1 67 "R"
2 -6 20 1 68 "R"
2 -6 10 1 69 "A"
2 1 40 1 70 "V"
2 -6 20 1 71 "R"
2 2 20 1 72 "R"
2 -12 20 1 73 "R"
2 4 50 1 74 "F"
2 -15 20 1 75 "R"
2 -9 50 1 76 "F"
2 -15 20 1 77 "R"
2 -6 10 1 78 "A"
2 1 40 1 79 "V"
2 1 40 1 80 "V"
2 -12 20 1 81 "R"
2 -3 50 1 82 "F"
2 2 20 1 83 "R"
2 -6 20 1 84 "R"
2 -12 20 1 85 "R"
2 2 20 1 86 "R"
2 -15 20 1 87 "R"
2 2 20 1 88 "R"
2 -6 20 1 89 "R"
2 1 40 1 90 "V"
2 -3 40 1 91 "V"
2 -3 40 1 92 "V"
2 -12 20 1 93 "R"
2 -3 40 1 94 "V"
2 5 20 1 95 "R"
2 -12 20 1 96 "R"
2 -6 20 1 97 "R"
2 1 40 1 98 "V"
2 3 40 1 99 "V"
2 -3 40 1 100 "V"
2 4 20 1 101 "R"
2 1 40 1 102 "V"
2 2 20 1 103 "R"
2 1 40 1 104 "V"
2 12 40 1 105 "V"
2 -3 40 1 106 "V"
2 3 10 1 107 "A"
2 -3 40 1 108 "V"
2 3 10 1 109 "A"
2 -3 40 1 110 "V"
2 -6 20 1 111 "R"
2 -3 40 1 112 "V"
2 5 20 1 113 "R"
2 2 20 1 114 "R"
2 -36 40 1 115 "V"
2 1 10 1 116 "A"
2 4 20 1 117 "R"
2 -6 20 1 118 "R"
2 4 20 1 119 "R"
2 -6 20 1 120 "R"
2 1 10 1 121 "A"
2 2 20 1 122 "R"
2 -6 20 1 123 "R"
2 -3 40 1 124 "V"
2 -12 20 1 125 "R"
2 -3 50 1 126 "F"
2 -15 20 1 127 "R"
2 -6 20 1 128 "R"
2 -6 20 1 129 "R"
2 -6 20 1 130 "R"
2 -12 20 1 131 "R"
2 -6 20 1 132 "R"
2 -12 20 1 133 "R"
2 -6 20 1 134 "R"
2 -12 20 1 135 "R"
2 2 20 1 136 "R"
2 5 20 1 137 "R"
2 2 20 1 138 "R"
2 -12 20 1 139 "R"
2 -3 40 2 1 "V"
2 2 20 2 2 "R"
2 5 20 2 3 "R"
2 -6 20 2 4 "R"
2 -12 10 2 5 "A"
2 -6 20 2 6 "R"
2 -9 40 2 7 "V"
2 -3 50 2 8 "F"
2 12 40 2 9 "V"
2 2 20 2 10 "R"
2 4 20 2 11 "R"
